Feature_id	Taxon	Confidence
5dacac263c50eb75f7bf2f56d8ccc1f3	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Retaria;D_5__Spumellaria;D_6__Cladococcus	0.80964836
9632a283dbdc2e5fb538537af9d99957	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta	0.961589517
90bb3f12d0badb938c9f0c330d012b2f	D_0__Eukaryota	1
1f8d29264a56b81eb3aa0451088a363b	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Heteroconchia;D_9__Veneroida;D_10__Glossus humanus	0.721202003
ddeb698d5268edaa5e8e491e6ae5fe11	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Rosales;D_11__Cannabis;D_12__Cannabis sativa (hemp)	0.894206157
b674016e769a667190dca2dd42219dbd	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales;D_5__Syndiniales Group II;D_6__uncultured alveolate	0.956365777
6344623e3d41aa7bdeadee86c3a6dab3	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Schizophyllaceae;D_10__Schizophyllum;D_11__Schizophyllum commune	0.958864956
28d97ce7aeb30c76a16b363aaf9fed2d	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Cladosporiaceae;D_10__Cladosporium;D_11__Sporobolus stapfianus	0.74928809
f8b069145e26a47fc5c6380cf8c00c18	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Dinoflagellata;D_6__Kareniaceae;D_7__Karlodinium;D_8__uncultured marine alveolate	0.999630753
f78e86d08f57ce41b75484bedb9a20b9	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_5__Heterotrichea;D_6__Spirostomum;D_7__Spirostomum sp. 6103103	0.998804118
6b477688a8d0bca72c4027dd2c0ee880	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales;D_5__Syndiniales Group I;D_6__uncultured marine eukaryote	0.935735797
2774242a95eadffeb5d3436f74337c68	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Hexacorallia;D_8__Zoantharia;D_9__Parazoanthus sp.	0.969409592
15f27a0476a6c09c7876941babee99d3	D_0__Eukaryota;D_1__Opisthokonta	0.730040765
1fa90f50cf916f038ac24b0924598b2a	D_0__Eukaryota	1
f14ae59887521c22dcd6f0196dff6101	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Enteropneusta;D_8__Harrimaniidae;D_9__Meioglossus psammophilus	0.998977116
baab23d2c9af8ff9d97285681595fed0	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Cucurbitales;D_11__Cucumis;D_12__Cucumis sativus (cucumber)	0.998952264
86344dcb11a6dd33d8811baa2268f1fe	D_0__Eukaryota;D_1__Opisthokonta	0.771356242
b9fa24d2c29b8153d4705f9b10c544ca	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Solanales;D_11__Nicotiana;D_12__Nicotiana attenuata	0.749961379
7649546abd8a059baa0af1831d569c85	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__MAST-9;D_4__MAST-9C;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.999768089
8026cec509b8e367afc55e8425d92c24	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Aspergillaceae	0.999783581
a2b93c67acbca9663434b5c368142f5b	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Bulleribasidiaceae;D_10__Derxomyces;D_11__uncultured eukaryote	0.766055537
0bffd129cb579f81f1296c0279471002	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta;D_6__Bacillariophyceae;D_7__Navicula;D_8__uncultured marine eukaryote	0.89667537
3029a428586f68e01370ac9c2389e33e	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Palpata;D_9__Eunicida;D_10__Ninoe nigripes	0.999878648
29ccc442724e7f1bef283437abf3b2d5	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Plectosphaerellaceae;D_10__Verticillium;D_11__Verticillium longisporum	0.804086217
9625fe90608aa46b0f5f87b5220b767a	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_4__Novel Apicomplexa Class 1	0.99999589
628f563bfe7bf1df35015b53d99cfa83	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_6__Echinodermata;D_7__Ophiuroidea;D_8__Ophiocanops fugiens	0.999995337
bfbb14c84ca48d06635db157112e80fb	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_9__Copepoda;D_10__Harpacticoida;D_11__Nitokra hibernica	0.966256023
dab6a73e189cc34bdca046ddcce4f364	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_11__Amphiesmenoptera;D_12__Lepidoptera;D_13__Spodoptera littoralis (African cotton leafworm)	0.953308676
9ae3b87059fb6350ef1eaf4eb39608aa	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_6__Prostomatea;D_7__Cryptocaryon;D_8__Cyclotrichium cyclokaryon	1
4fbbe7323029f5aa4af99418c64ed1a0	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_9__Copepoda;D_10__Calanoida;D_11__uncultured eukaryote	0.999998999
21ba5e3569dc4db8bfcf6d55f36dc5a2	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales;D_5__Syndiniales Group I;D_6__uncultured marine eukaryote	0.935989373
ea623fe51c656d70fa282968fef94ead	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_4__Novel Apicomplexa Class 1;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.9759335
2caa4234a7ee02fab4ed51d5e6962f4b	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta;D_6__Mediophyceae;D_7__Thalassiosira;D_8__uncultured marine eukaryote	0.882720767
10c9cac6034b42e0358560a56882e183	D_0__Eukaryota	1
